,genus_init,genus_gtdb,quality,genome_id
GCF_002551295.1,Streptomyces,Streptomyces_G,LQ,GCF_002551295.1
GCF_002551305.1,Streptomyces,Streptomyces_G,LQ,GCF_002551305.1
GCF_002551335.1,Streptomyces,Streptomyces_G,LQ,GCF_002551335.1
GCF_002551345.1,Streptomyces,Streptomyces_G,LQ,GCF_002551345.1
GCF_002551375.1,Streptomyces,Streptomyces_G,LQ,GCF_002551375.1
GCF_002551415.1,Streptomyces,Streptomyces_G,LQ,GCF_002551415.1
GCF_002551425.1,Streptomyces,Streptomyces_G,LQ,GCF_002551425.1
GCF_002551435.1,Streptomyces,Streptomyces_G,LQ,GCF_002551435.1
GCF_002551465.1,Streptomyces,Streptomyces_G,LQ,GCF_002551465.1
GCF_002551475.1,Streptomyces,Streptomyces_G,LQ,GCF_002551475.1
GCF_002556545.1,Streptomyces,Streptomyces_G,HQ,GCF_002556545.1
GCF_002573955.1,Streptomyces,Streptomyces_G,LQ,GCF_002573955.1
GCF_002591335.1,Streptomyces,Streptomyces_G,HQ,GCF_002591335.1
GCF_002633395.1,Streptomyces,Streptomyces_G,MQ,GCF_002633395.1
GCF_002705665.1,Streptomyces,Streptomyces_G,LQ,GCF_002705665.1
GCF_002705685.1,Streptomyces,Streptomyces_G,MQ,GCF_002705685.1
GCF_002705695.1,Streptomyces,Streptomyces_G,MQ,GCF_002705695.1
GCF_002705725.1,Streptomyces,Streptomyces_G,MQ,GCF_002705725.1
GCF_002705975.1,Streptomyces,Streptomyces_G,MQ,GCF_002705975.1
GCF_002711365.1,Streptomyces,Streptomyces_G,MQ,GCF_002711365.1
GCF_002727115.1,Streptomyces,Streptomyces_G,LQ,GCF_002727115.1
GCF_002742045.1,Streptomyces,Streptomyces_G,MQ,GCF_002742045.1
GCF_002777535.1,Streptomyces,Streptomyces_G,HQ,GCF_002777535.1
GCF_002794255.1,Streptomyces,Streptomyces_G,MQ,GCF_002794255.1
GCF_002797835.1,Streptomyces,Streptomyces_G,MQ,GCF_002797835.1
GCF_002802945.1,Streptomyces,Streptomyces_G,MQ,GCF_002802945.1
GCF_002803065.1,Streptomyces,Streptomyces_G,MQ,GCF_002803065.1
GCF_002803075.1,Streptomyces,Streptomyces_G,MQ,GCF_002803075.1
GCF_002803085.1,Streptomyces,Streptomyces_G,MQ,GCF_002803085.1
GCF_002803145.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_002803145.1
GCF_002803155.1,Streptomyces,Streptomyces_G,MQ,GCF_002803155.1
GCF_002803175.1,Streptomyces,Streptomyces_G,MQ,GCF_002803175.1
GCF_002803195.1,Streptomyces,Streptomyces_G,MQ,GCF_002803195.1
GCF_002803845.1,Streptomyces,Streptomyces_G,HQ,GCF_002803845.1
GCF_002804165.1,Streptomyces,Streptomyces_G,HQ,GCF_002804165.1
GCF_002811705.1,Streptomyces,Streptomyces_G,MQ,GCF_002811705.1
GCF_002812405.1,Streptomyces,Streptomyces_G,HQ,GCF_002812405.1
GCF_002832675.1,Streptomyces,Streptomyces_G,HQ,GCF_002832675.1
GCF_002843305.1,Streptomyces,Streptomyces_G,LQ,GCF_002843305.1
GCF_002844215.1,Streptomyces,Streptomyces_G,LQ,GCF_002844215.1
GCF_002846415.1,Streptomyces,Streptomyces_G,MQ,GCF_002846415.1
GCF_002846455.1,Streptomyces,Streptomyces_G,MQ,GCF_002846455.1
GCF_002847285.1,Streptomyces,Streptomyces_G,HQ,GCF_002847285.1
GCF_002879675.3,Streptomyces,Streptomyces_G,MQ,GCF_002879675.3
GCF_002891295.1,Streptomyces,Streptomyces_G,MQ,GCF_002891295.1
GCF_002891315.1,Streptomyces,Streptomyces_G,MQ,GCF_002891315.1
GCF_002891435.1,Streptomyces,Streptomyces_G,LQ,GCF_002891435.1
GCF_002891865.1,Streptomyces,Streptomyces_G,LQ,GCF_002891865.1
GCF_002899455.1,Streptomyces,Streptomyces_G,MQ,GCF_002899455.1
GCF_002907485.1,Streptomyces,Streptomyces_G,LQ,GCF_002907485.1
GCF_002910725.2,Streptomyces,Streptomyces_G,HQ,GCF_002910725.2
GCF_002910755.1,Streptomyces,Streptomyces_G,LQ,GCF_002910755.1
GCF_002910775.2,Streptomyces,Streptomyces_G,HQ,GCF_002910775.2
GCF_002910795.1,Streptomyces,Streptomyces_G,LQ,GCF_002910795.1
GCF_002910815.1,Streptomyces,Streptomyces_G,LQ,GCF_002910815.1
GCF_002910825.1,Streptomyces,Streptomyces_G,LQ,GCF_002910825.1
GCF_002910855.1,Streptomyces,Streptomyces_G,LQ,GCF_002910855.1
GCF_002910875.1,Streptomyces,Streptomyces_G,LQ,GCF_002910875.1
GCF_002910895.1,Streptomyces,Streptomyces_G,LQ,GCF_002910895.1
GCF_002910905.1,Streptomyces,Streptomyces_G,LQ,GCF_002910905.1
GCF_002910915.1,Streptomyces,Streptomyces_G,LQ,GCF_002910915.1
GCF_002910935.1,Streptomyces,Streptomyces_G,LQ,GCF_002910935.1
GCF_002910985.1,Streptomyces,Streptomyces_G,LQ,GCF_002910985.1
GCF_002911015.1,Streptomyces,Streptomyces_G,LQ,GCF_002911015.1
GCF_002920535.1,Streptomyces,Streptomyces_G,LQ,GCF_002920535.1
GCF_002920575.1,Streptomyces,Streptomyces_G,LQ,GCF_002920575.1
GCF_002920615.1,Streptomyces,Streptomyces_G,LQ,GCF_002920615.1
GCF_002920635.1,Streptomyces,Streptomyces_G,LQ,GCF_002920635.1
GCF_002939385.1,Streptomyces,Streptomyces_G,LQ,GCF_002939385.1
GCF_002939475.1,Streptomyces,Streptomyces_G,MQ,GCF_002939475.1
GCF_002940705.1,Streptomyces,Streptomyces_G,MQ,GCF_002940705.1
GCF_002941025.1,Streptomyces,Streptomyces_G,MQ,GCF_002941025.1
GCF_002943525.1,non-Streptomyces,non-Streptomyces_G,HQ,GCF_002943525.1
GCF_002943895.1,Streptomyces,Streptomyces_G,HQ,GCF_002943895.1
GCF_002946835.1,Streptomyces,Streptomyces_G,HQ,GCF_002946835.1
GCF_002953255.1,Streptomyces,non-Streptomyces_G,LQ,GCF_002953255.1
GCF_002954775.1,Streptomyces,Streptomyces_G,LQ,GCF_002954775.1
GCF_002966105.1,Streptomyces,Streptomyces_G,LQ,GCF_002966105.1
GCF_002982015.1,Streptomyces,Streptomyces_G,LQ,GCF_002982015.1
GCF_003013745.1,Streptomyces,Streptomyces_G,LQ,GCF_003013745.1
GCF_003024195.1,Streptomyces,Streptomyces_G,MQ,GCF_003024195.1
GCF_003024215.1,Streptomyces,Streptomyces_G,MQ,GCF_003024215.1
GCF_003032475.1,Streptomyces,Streptomyces_G,HQ,GCF_003032475.1
GCF_003041235.1,Streptomyces,Streptomyces_G,MQ,GCF_003041235.1
GCF_003046555.1,Streptomyces,Streptomyces_G,MQ,GCF_003046555.1
GCF_003048205.2,Streptomyces,Streptomyces_G,MQ,GCF_003048205.2
GCF_003054555.1,Streptomyces,Streptomyces_G,HQ,GCF_003054555.1
GCF_003073355.1,Streptomyces,Streptomyces_G,LQ,GCF_003073355.1
GCF_003074055.1,Streptomyces,Streptomyces_G,HQ,GCF_003074055.1
GCF_003097515.1,Streptomyces,Streptomyces_G,HQ,GCF_003097515.1
GCF_003112515.1,Streptomyces,Streptomyces_G,MQ,GCF_003112515.1
GCF_003112535.1,Streptomyces,Streptomyces_G,MQ,GCF_003112535.1
GCF_003112555.1,Streptomyces,Streptomyces_G,MQ,GCF_003112555.1
GCF_003112575.1,Streptomyces,Streptomyces_G,MQ,GCF_003112575.1
GCF_003112595.1,Streptomyces,Streptomyces_G,MQ,GCF_003112595.1
GCF_003116675.1,Streptomyces,Streptomyces_G,MQ,GCF_003116675.1
GCF_003116685.1,Streptomyces,Streptomyces_G,MQ,GCF_003116685.1
GCF_003116715.1,Streptomyces,Streptomyces_G,MQ,GCF_003116715.1
GCF_003116725.1,Streptomyces,Streptomyces_G,MQ,GCF_003116725.1
GCF_003116755.1,Streptomyces,Streptomyces_G,MQ,GCF_003116755.1
GCF_003116775.1,Streptomyces,Streptomyces_G,MQ,GCF_003116775.1
GCF_003116795.1,Streptomyces,Streptomyces_G,MQ,GCF_003116795.1
GCF_003121295.1,Streptomyces,Streptomyces_G,MQ,GCF_003121295.1
GCF_003122345.2,Streptomyces,Streptomyces_G,LQ,GCF_003122345.2
GCF_003122365.1,Streptomyces,Streptomyces_G,HQ,GCF_003122365.1
GCF_003129505.1,Streptomyces,Streptomyces_G,LQ,GCF_003129505.1
GCF_003143855.1,Streptomyces,Streptomyces_G,LQ,GCF_003143855.1
GCF_003143935.1,Streptomyces,Streptomyces_G,MQ,GCF_003143935.1
GCF_003144095.1,Streptomyces,Streptomyces_G,MQ,GCF_003144095.1
GCF_003146615.1,Streptomyces,Streptomyces_G,MQ,GCF_003146615.1
GCF_003147545.1,Streptomyces,Streptomyces_G,HQ,GCF_003147545.1
GCF_003148825.1,Streptomyces,Streptomyces_G,MQ,GCF_003148825.1
GCF_003173275.1,Streptomyces,Streptomyces_G,HQ,GCF_003173275.1
GCF_003173635.1,Streptomyces,Streptomyces_G,LQ,GCF_003173635.1
GCF_003173645.1,Streptomyces,Streptomyces_G,LQ,GCF_003173645.1
GCF_003205575.1,Streptomyces,non-Streptomyces_G,LQ,GCF_003205575.1
GCF_003208035.1,Streptomyces,Streptomyces_G,HQ,GCF_003208035.1
GCF_003236365.1,Streptomyces,Streptomyces_G,LQ,GCF_003236365.1
GCF_003248335.1,Streptomyces,Streptomyces_G,MQ,GCF_003248335.1
GCF_003248355.1,Streptomyces,Streptomyces_G,MQ,GCF_003248355.1
GCF_003254205.1,Streptomyces,Streptomyces_G,MQ,GCF_003254205.1
GCF_003258295.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_003258295.1
GCF_003258605.2,non-Streptomyces,non-Streptomyces_G,HQ,GCF_003258605.2
GCF_003259275.1,Streptomyces,Streptomyces_G,MQ,GCF_003259275.1
GCF_003259315.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_003259315.1
GCF_003259355.1,Streptomyces,Streptomyces_G,MQ,GCF_003259355.1
GCF_003259365.1,Streptomyces,Streptomyces_G,LQ,GCF_003259365.1
GCF_003259575.1,Streptomyces,Streptomyces_G,MQ,GCF_003259575.1
GCF_003259585.1,Streptomyces,Streptomyces_G,MQ,GCF_003259585.1
GCF_003259625.1,Streptomyces,Streptomyces_G,MQ,GCF_003259625.1
GCF_003261055.1,Streptomyces,Streptomyces_G,HQ,GCF_003261055.1
GCF_003263885.1,Streptomyces,Streptomyces_G,MQ,GCF_003263885.1
GCF_003263925.1,Streptomyces,Streptomyces_G,MQ,GCF_003263925.1
GCF_003265665.1,Streptomyces,Streptomyces_G,MQ,GCF_003265665.1
GCF_003268535.2,Streptomyces,Streptomyces_G,HQ,GCF_003268535.2
GCF_003268555.1,Streptomyces,Streptomyces_G,LQ,GCF_003268555.1
GCF_003268965.1,Streptomyces,Streptomyces_G,MQ,GCF_003268965.1
GCF_003270085.1,Streptomyces,Streptomyces_G,LQ,GCF_003270085.1
GCF_003287915.1,Streptomyces,Streptomyces_G,HQ,GCF_003287915.1
GCF_003287935.1,Streptomyces,Streptomyces_G,HQ,GCF_003287935.1
GCF_003311645.1,Streptomyces,Streptomyces_G,LQ,GCF_003311645.1
GCF_003323715.1,Streptomyces,Streptomyces_G,MQ,GCF_003323715.1
GCF_003323735.1,Streptomyces,Streptomyces_G,MQ,GCF_003323735.1
GCF_003324565.1,Streptomyces,Streptomyces_G,MQ,GCF_003324565.1
GCF_003325375.1,Streptomyces,Streptomyces_G,HQ,GCF_003325375.1
GCF_003330845.1,Streptomyces,Streptomyces_G,HQ,GCF_003330845.1
GCF_003330865.1,Streptomyces,Streptomyces_G,HQ,GCF_003330865.1
GCF_003344445.1,Streptomyces,Streptomyces_G,HQ,GCF_003344445.1
GCF_003344905.1,Streptomyces,Streptomyces_G,LQ,GCF_003344905.1
GCF_003344965.1,Streptomyces,Streptomyces_G,HQ,GCF_003344965.1
GCF_003346515.1,Streptomyces,Streptomyces_G,LQ,GCF_003346515.1
GCF_003352445.1,Streptomyces,Streptomyces_G,HQ,GCF_003352445.1
GCF_003353555.1,Streptomyces,Streptomyces_G,MQ,GCF_003353555.1
GCF_003355155.1,Streptomyces,Streptomyces_G,HQ,GCF_003355155.1
GCF_003363195.1,Streptomyces,Streptomyces_G,MQ,GCF_003363195.1
GCF_003367645.1,Streptomyces,Streptomyces_G,MQ,GCF_003367645.1
GCF_003369795.1,Streptomyces,Streptomyces_G,HQ,GCF_003369795.1
GCF_003387455.1,Streptomyces,Streptomyces_G,MQ,GCF_003387455.1
GCF_003389455.1,Streptomyces,Streptomyces_G,LQ,GCF_003389455.1
GCF_003391135.1,Streptomyces,Streptomyces_G,HQ,GCF_003391135.1
GCF_003402595.1,Streptomyces,Streptomyces_G,MQ,GCF_003402595.1
GCF_003403055.1,Streptomyces,Streptomyces_G,MQ,GCF_003403055.1
GCF_003428925.1,Streptomyces,Streptomyces_G,HQ,GCF_003428925.1
GCF_003429565.1,Streptomyces,Streptomyces_G,LQ,GCF_003429565.1
GCF_003435025.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_003435025.1
GCF_003443735.1,Streptomyces,Streptomyces_G,HQ,GCF_003443735.1
GCF_003454755.1,Streptomyces,Streptomyces_G,HQ,GCF_003454755.1
GCF_003501885.1,Streptomyces,Streptomyces_G,LQ,GCF_003501885.1
GCF_003568675.1,Streptomyces,Streptomyces_G,LQ,GCF_003568675.1
GCF_003573485.1,Streptomyces,Streptomyces_G,HQ,GCF_003573485.1
GCF_003574445.1,Streptomyces,Streptomyces_G,MQ,GCF_003574445.1
GCF_003584805.1,Streptomyces,Streptomyces_G,LQ,GCF_003584805.1
GCF_003584815.1,Streptomyces,Streptomyces_G,LQ,GCF_003584815.1
GCF_003584825.1,Streptomyces,Streptomyces_G,LQ,GCF_003584825.1
GCF_003595235.1,Streptomyces,Streptomyces_G,HQ,GCF_003595235.1
GCF_003595545.1,Streptomyces,Streptomyces_G,HQ,GCF_003595545.1
GCF_003610255.1,Streptomyces,non-Streptomyces_G,MQ,GCF_003610255.1
GCF_003610995.1,Streptomyces,Streptomyces_G,HQ,GCF_003610995.1
GCF_003626535.1,Streptomyces,Streptomyces_G,MQ,GCF_003626535.1
GCF_003626575.1,Streptomyces,Streptomyces_G,MQ,GCF_003626575.1
GCF_003626585.1,Streptomyces,Streptomyces_G,MQ,GCF_003626585.1
GCF_003626645.1,Streptomyces,Streptomyces_G,LQ,GCF_003626645.1
GCF_003627815.1,Streptomyces,Streptomyces_G,HQ,GCF_003627815.1
GCF_003634815.1,Streptomyces,Streptomyces_G,MQ,GCF_003634815.1
GCF_003635085.1,Streptomyces,non-Streptomyces_G,MQ,GCF_003635085.1
GCF_003665095.1,Streptomyces,Streptomyces_G,MQ,GCF_003665095.1
GCF_003665435.1,Streptomyces,Streptomyces_G,HQ,GCF_003665435.1
GCF_003671675.1,Streptomyces,Streptomyces_G,LQ,GCF_003671675.1
GCF_003671685.1,Streptomyces,Streptomyces_G,LQ,GCF_003671685.1
GCF_003671715.1,Streptomyces,Streptomyces_G,MQ,GCF_003671715.1
GCF_003671735.1,Streptomyces,Streptomyces_G,MQ,GCF_003671735.1
GCF_003671755.1,Streptomyces,Streptomyces_G,LQ,GCF_003671755.1
GCF_003675325.1,Streptomyces,Streptomyces_G,HQ,GCF_003675325.1
GCF_003675345.1,Streptomyces,Streptomyces_G,HQ,GCF_003675345.1
GCF_003675955.1,Streptomyces,Streptomyces_G,MQ,GCF_003675955.1
GCF_003675975.1,Streptomyces,Streptomyces_G,MQ,GCF_003675975.1
GCF_003688995.1,Streptomyces,Streptomyces_G,LQ,GCF_003688995.1
GCF_003696235.1,Streptomyces,Streptomyces_G,LQ,GCF_003696235.1
GCF_003698085.1,Streptomyces,Streptomyces_G,MQ,GCF_003698085.1
GCF_003709145.1,Streptomyces,Streptomyces_G,MQ,GCF_003709145.1
GCF_003721215.1,Streptomyces,Streptomyces_G,LQ,GCF_003721215.1
GCF_003721495.1,Streptomyces,Streptomyces_G,HQ,GCF_003721495.1
GCF_003751425.1,Streptomyces,Streptomyces_G,MQ,GCF_003751425.1
GCF_003751445.1,Streptomyces,Streptomyces_G,MQ,GCF_003751445.1
GCF_003751605.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_003751605.1
GCF_003751985.1,Streptomyces,Streptomyces_G,MQ,GCF_003751985.1
GCF_003752205.1,Streptomyces,Streptomyces_G,MQ,GCF_003752205.1
GCF_003752275.1,Streptomyces,Streptomyces_G,MQ,GCF_003752275.1
GCF_003814735.1,Streptomyces,Streptomyces_G,MQ,GCF_003814735.1
GCF_003814765.1,Streptomyces,Streptomyces_G,MQ,GCF_003814765.1
GCF_003814875.1,Streptomyces,Streptomyces_G,MQ,GCF_003814875.1
GCF_003814885.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_003814885.1
GCF_003846155.1,Streptomyces,Streptomyces_G,MQ,GCF_003846155.1
GCF_003846165.1,Streptomyces,Streptomyces_G,MQ,GCF_003846165.1
GCF_003846175.1,Streptomyces,Streptomyces_G,MQ,GCF_003846175.1
GCF_003846185.1,Streptomyces,Streptomyces_G,MQ,GCF_003846185.1
GCF_003846195.1,Streptomyces,Streptomyces_G,MQ,GCF_003846195.1
GCF_003846255.1,Streptomyces,Streptomyces_G,MQ,GCF_003846255.1
GCF_003846265.1,Streptomyces,Streptomyces_G,MQ,GCF_003846265.1
GCF_003846275.1,Streptomyces,Streptomyces_G,MQ,GCF_003846275.1
GCF_003846285.1,Streptomyces,Streptomyces_G,MQ,GCF_003846285.1
GCF_003851625.1,Streptomyces,Streptomyces_G,LQ,GCF_003851625.1
GCF_003851665.1,Streptomyces,Streptomyces_G,MQ,GCF_003851665.1
GCF_003865135.1,Streptomyces,Streptomyces_G,MQ,GCF_003865135.1
GCF_003865155.1,Streptomyces,Streptomyces_G,MQ,GCF_003865155.1
GCF_003932715.1,Streptomyces,Streptomyces_G,HQ,GCF_003932715.1
GCF_003933295.1,Streptomyces,Streptomyces_G,MQ,GCF_003933295.1
GCF_003933485.1,Streptomyces,Streptomyces_G,LQ,GCF_003933485.1
GCF_003933965.1,Streptomyces,Streptomyces_G,LQ,GCF_003933965.1
GCF_003935055.1,Streptomyces,Streptomyces_G,MQ,GCF_003935055.1
GCF_003945505.1,Streptomyces,Streptomyces_G,HQ,GCF_003945505.1
GCF_003945525.1,Streptomyces,Streptomyces_G,HQ,GCF_003945525.1
GCF_003945545.1,Streptomyces,Streptomyces_G,HQ,GCF_003945545.1
GCF_003947265.2,Streptomyces,Streptomyces_G,MQ,GCF_003947265.2
GCF_003947455.1,Streptomyces,Streptomyces_G,LQ,GCF_003947455.1
GCF_003947555.1,Streptomyces,Streptomyces_G,LQ,GCF_003947555.1
GCF_003947575.1,Streptomyces,Streptomyces_G,MQ,GCF_003947575.1
GCF_003947585.1,Streptomyces,Streptomyces_G,LQ,GCF_003947585.1
GCF_003949505.1,Streptomyces,Streptomyces_G,LQ,GCF_003949505.1
GCF_003949535.1,Streptomyces,Streptomyces_G,LQ,GCF_003949535.1
GCF_003949665.1,Streptomyces,Streptomyces_G,LQ,GCF_003949665.1
GCF_003949695.1,Streptomyces,Streptomyces_G,LQ,GCF_003949695.1
GCF_003949795.1,Streptomyces,Streptomyces_G,LQ,GCF_003949795.1
GCF_003949805.1,Streptomyces,Streptomyces_G,LQ,GCF_003949805.1
GCF_003949835.1,Streptomyces,Streptomyces_G,LQ,GCF_003949835.1
GCF_003949845.1,Streptomyces,Streptomyces_G,MQ,GCF_003949845.1
GCF_003949875.1,Streptomyces,Streptomyces_G,LQ,GCF_003949875.1
GCF_003949895.1,Streptomyces,Streptomyces_G,LQ,GCF_003949895.1
GCF_003949905.1,Streptomyces,Streptomyces_G,MQ,GCF_003949905.1
GCF_003949955.1,Streptomyces,Streptomyces_G,LQ,GCF_003949955.1
GCF_003950035.1,Streptomyces,Streptomyces_G,HQ,GCF_003950035.1
GCF_003950055.1,Streptomyces,Streptomyces_G,HQ,GCF_003950055.1
GCF_003955715.1,Streptomyces,Streptomyces_G,HQ,GCF_003955715.1
GCF_003963535.1,Streptomyces,Streptomyces_G,HQ,GCF_003963535.1
GCF_003967355.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_003967355.1
GCF_003970715.1,Streptomyces,Streptomyces_G,HQ,GCF_003970715.1
GCF_003977835.1,Streptomyces,Streptomyces_G,LQ,GCF_003977835.1
GCF_003977875.1,Streptomyces,Streptomyces_G,LQ,GCF_003977875.1
GCF_003984785.1,Streptomyces,Streptomyces_G,LQ,GCF_003984785.1
GCF_003984905.1,Streptomyces,Streptomyces_G,MQ,GCF_003984905.1
GCF_003984925.1,Streptomyces,Streptomyces_G,MQ,GCF_003984925.1
GCF_003984935.1,Streptomyces,Streptomyces_G,MQ,GCF_003984935.1
GCF_003984965.1,Streptomyces,Streptomyces_G,MQ,GCF_003984965.1
GCF_003984975.1,Streptomyces,Streptomyces_G,MQ,GCF_003984975.1
GCF_003989035.1,Streptomyces,Streptomyces_G,MQ,GCF_003989035.1
GCF_003994375.1,Streptomyces,Streptomyces_G,HQ,GCF_003994375.1
GCF_003994395.1,Streptomyces,Streptomyces_G,HQ,GCF_003994395.1
GCF_003999195.1,Streptomyces,Streptomyces_G,LQ,GCF_003999195.1
GCF_004000405.1,Streptomyces,Streptomyces_G,MQ,GCF_004000405.1
GCF_004005495.1,Streptomyces,Streptomyces_G,MQ,GCF_004005495.1
GCF_004023625.1,Streptomyces,Streptomyces_G,LQ,GCF_004023625.1
GCF_004028635.1,Streptomyces,Streptomyces_G,MQ,GCF_004028635.1
GCF_004078575.1,Streptomyces,Streptomyces_G,LQ,GCF_004078575.1
GCF_004104485.1,Streptomyces,Streptomyces_G,HQ,GCF_004104485.1
GCF_004104505.1,Streptomyces,Streptomyces_G,HQ,GCF_004104505.1
GCF_004115015.1,Streptomyces,Streptomyces_G,MQ,GCF_004115015.1
GCF_004117935.1,Streptomyces,Streptomyces_G,LQ,GCF_004117935.1
GCF_004122735.1,Streptomyces,Streptomyces_G,LQ,GCF_004122735.1
GCF_004122755.1,Streptomyces,Streptomyces_G,LQ,GCF_004122755.1
GCF_004123705.1,Streptomyces,Streptomyces_G,MQ,GCF_004123705.1
GCF_004124325.1,Streptomyces,Streptomyces_G,MQ,GCF_004124325.1
GCF_004124335.1,Streptomyces,Streptomyces_G,MQ,GCF_004124335.1
GCF_004125245.1,Streptomyces,Streptomyces_G,MQ,GCF_004125245.1
GCF_004125265.1,Streptomyces,Streptomyces_G,MQ,GCF_004125265.1
GCF_004125275.1,Streptomyces,Streptomyces_G,MQ,GCF_004125275.1
GCF_004125315.1,Streptomyces,Streptomyces_G,MQ,GCF_004125315.1
GCF_004127445.1,Streptomyces,Streptomyces_G,MQ,GCF_004127445.1
GCF_004151105.1,Streptomyces,Streptomyces_G,LQ,GCF_004151105.1
GCF_004187715.1,Streptomyces,Streptomyces_G,LQ,GCF_004187715.1
GCF_004193175.1,Streptomyces,Streptomyces_G,MQ,GCF_004193175.1
GCF_004195735.1,Streptomyces,Streptomyces_G,MQ,GCF_004195735.1
GCF_004195745.1,Streptomyces,Streptomyces_G,MQ,GCF_004195745.1
GCF_004195755.1,Streptomyces,Streptomyces_G,MQ,GCF_004195755.1
GCF_004195765.1,Streptomyces,Streptomyces_G,MQ,GCF_004195765.1
GCF_004195775.1,Streptomyces,Streptomyces_G,MQ,GCF_004195775.1
GCF_004195835.1,Streptomyces,Streptomyces_G,MQ,GCF_004195835.1
GCF_004195845.1,Streptomyces,Streptomyces_G,MQ,GCF_004195845.1
GCF_004195855.1,Streptomyces,Streptomyces_G,MQ,GCF_004195855.1
GCF_004195885.1,Streptomyces,Streptomyces_G,MQ,GCF_004195885.1
GCF_004195895.1,Streptomyces,Streptomyces_G,MQ,GCF_004195895.1
GCF_004195935.1,Streptomyces,Streptomyces_G,MQ,GCF_004195935.1
GCF_004195945.1,Streptomyces,Streptomyces_G,MQ,GCF_004195945.1
GCF_004195955.1,Streptomyces,Streptomyces_G,MQ,GCF_004195955.1
GCF_004195965.1,Streptomyces,Streptomyces_G,MQ,GCF_004195965.1
GCF_004195995.1,Streptomyces,Streptomyces_G,MQ,GCF_004195995.1
GCF_004196035.1,Streptomyces,Streptomyces_G,MQ,GCF_004196035.1
GCF_004196045.1,Streptomyces,Streptomyces_G,MQ,GCF_004196045.1
GCF_004196055.1,Streptomyces,Streptomyces_G,LQ,GCF_004196055.1
GCF_004196095.1,Streptomyces,Streptomyces_G,MQ,GCF_004196095.1
GCF_004196115.1,Streptomyces,Streptomyces_G,LQ,GCF_004196115.1
GCF_004196125.1,Streptomyces,Streptomyces_G,MQ,GCF_004196125.1
GCF_004196135.1,Streptomyces,Streptomyces_G,MQ,GCF_004196135.1
GCF_004196145.1,Streptomyces,Streptomyces_G,MQ,GCF_004196145.1
GCF_004196155.1,Streptomyces,Streptomyces_G,MQ,GCF_004196155.1
GCF_004196215.1,Streptomyces,Streptomyces_G,MQ,GCF_004196215.1
GCF_004196225.1,Streptomyces,Streptomyces_G,MQ,GCF_004196225.1
GCF_004196335.1,Streptomyces,Streptomyces_G,LQ,GCF_004196335.1
GCF_004212445.1,Streptomyces,Streptomyces_G,LQ,GCF_004212445.1
GCF_004217285.1,Streptomyces,Streptomyces_G,MQ,GCF_004217285.1
GCF_004217355.1,Streptomyces,Streptomyces_G,MQ,GCF_004217355.1
GCF_004295505.1,Streptomyces,Streptomyces_G,MQ,GCF_004295505.1
GCF_004305975.1,Streptomyces,Streptomyces_G,LQ,GCF_004305975.1
GCF_004320085.1,Streptomyces,Streptomyces_G,LQ,GCF_004320085.1
GCF_004328625.1,Streptomyces,Streptomyces_G,HQ,GCF_004328625.1
GCF_004334925.1,Streptomyces,Streptomyces_G,MQ,GCF_004334925.1
GCF_004337435.2,Streptomyces,Streptomyces_G,MQ,GCF_004337435.2
GCF_004341025.1,Streptomyces,Streptomyces_G,MQ,GCF_004341025.1
GCF_004348315.1,Streptomyces,Streptomyces_G,LQ,GCF_004348315.1
GCF_004348415.1,Streptomyces,Streptomyces_G,LQ,GCF_004348415.1
GCF_004353505.1,Streptomyces,Streptomyces_G,MQ,GCF_004353505.1
GCF_004353545.1,Streptomyces,Streptomyces_G,MQ,GCF_004353545.1
GCF_004359235.1,Streptomyces,Streptomyces_G,MQ,GCF_004359235.1
GCF_004364245.1,Streptomyces,Streptomyces_G,MQ,GCF_004364245.1
GCF_004364395.1,Streptomyces,Streptomyces_G,MQ,GCF_004364395.1
GCF_004365705.1,Streptomyces,non-Streptomyces_G,MQ,GCF_004365705.1
GCF_004403015.1,Streptomyces,Streptomyces_G,LQ,GCF_004403015.1
GCF_004522685.1,Streptomyces,Streptomyces_G,MQ,GCF_004522685.1
GCF_004524875.1,Streptomyces,Streptomyces_G,HQ,GCF_004524875.1
GCF_004563805.1,Streptomyces,Streptomyces_G,MQ,GCF_004563805.1
GCF_004684775.1,Streptomyces,Streptomyces_G,LQ,GCF_004684775.1
GCF_004684805.1,Streptomyces,Streptomyces_G,LQ,GCF_004684805.1
GCF_004768505.1,Streptomyces,Streptomyces_G,LQ,GCF_004768505.1
GCF_004784465.1,Streptomyces,Streptomyces_G,MQ,GCF_004784465.1
GCF_004784475.1,Streptomyces,Streptomyces_G,MQ,GCF_004784475.1
GCF_004794175.1,Streptomyces,Streptomyces_G,LQ,GCF_004794175.1
GCF_004794665.1,Streptomyces,Streptomyces_G,MQ,GCF_004794665.1
GCF_004794975.1,Streptomyces,Streptomyces_G,LQ,GCF_004794975.1
GCF_004795015.1,Streptomyces,Streptomyces_G,LQ,GCF_004795015.1
